datemin,index
2015-01-05,600333.SH
2015-01-05,600355.SH
2015-01-05,600356.SH
2015-01-05,600359.SH
2015-01-05,600365.SH
2015-01-05,600370.SH
2015-01-05,600371.SH
2015-01-05,600381.SH
2015-01-05,600386.SH
2015-01-05,600421.SH
2015-01-05,600444.SH
2015-01-05,600448.SH
2015-01-05,600455.SH
2015-01-05,600463.SH
2015-01-05,600476.SH
2015-01-05,600493.SH
2015-01-05,600533.SH
2015-01-05,600539.SH
2015-01-05,600540.SH
2015-01-05,600543.SH
2015-01-05,600561.SH
2015-01-05,600573.SH
2015-01-05,600579.SH
2015-01-05,600599.SH
2015-01-05,600608.SH
2015-01-05,600613.SH
2015-01-05,600615.SH
2015-01-05,600620.SH
2015-01-05,600665.SH
2015-01-05,600671.SH
2015-01-05,600683.SH
2015-01-05,600689.SH
2015-01-05,600692.SH
2015-01-05,600696.SH
2015-01-05,600697.SH
2015-01-05,600716.SH
2015-01-05,600719.SH
2015-01-05,600722.SH
2015-01-05,600724.SH
2015-01-05,600735.SH
2015-01-05,600753.SH
2015-01-05,600768.SH
2015-01-05,600774.SH
2015-01-05,600778.SH
2015-01-05,600791.SH
2015-01-05,600792.SH
2015-01-05,600793.SH
2015-01-05,600796.SH
2015-01-05,600817.SH
2015-01-05,600822.SH
2015-01-05,600828.SH
2015-01-05,600829.SH
2015-01-05,600833.SH
2015-01-05,600834.SH
2015-01-05,600844.SH
2015-01-05,600847.SH
2015-01-05,600854.SH
2015-01-05,600876.SH
2015-01-05,600883.SH
2015-01-05,600892.SH
2017-02-21,600939.SH
2015-01-05,600965.SH
2015-01-05,600983.SH
2015-01-05,601007.SH
2018-08-31,601068.SH
2017-09-29,601086.SH
2015-01-05,601107.SH
2015-01-05,601199.SH
2015-06-12,601368.SH
2015-01-05,601518.SH
2016-08-08,601811.SH
2015-01-05,601996.SH
2015-01-05,601999.SH
2015-01-05,603001.SH
2015-01-05,603006.SH
2016-07-01,603016.SH
2015-01-05,603017.SH
2015-04-23,603021.SH
2015-05-18,603022.SH
2015-05-27,603023.SH
2016-03-31,603028.SH
2016-04-27,603029.SH
2017-03-30,603041.SH
2018-05-17,603045.SH
2018-03-02,603059.SH
2016-11-09,603060.SH
2015-06-11,603066.SH
2017-11-13,603076.SH
2017-08-23,603079.SH
2018-01-03,603080.SH
2017-01-26,603089.SH
2017-04-25,603096.SH
2017-10-12,603103.SH
2015-06-29,603116.SH
2017-09-27,603136.SH
2017-04-21,603139.SH
2016-08-12,603159.SH
2018-01-05,603161.SH
2017-01-17,603165.SH
2015-01-05,603168.SH
2017-02-07,603177.SH
2017-03-28,603178.SH
2017-05-12,603180.SH
2017-09-05,603183.SH
2015-01-05,603188.SH
2018-08-28,603192.SH
2017-02-10,603208.SH
2018-03-30,603214.SH
2017-02-22,603238.SH
2017-11-13,603278.SH
2017-10-31,603289.SH
2017-03-30,603303.SH
2015-05-18,603311.SH
2015-04-24,603318.SH
2017-05-02,603320.SH
2017-09-15,603321.SH
2017-06-16,603326.SH
2017-12-29,603329.SH
2017-07-05,603331.SH
2019-01-17,603332.SH
2017-06-20,603335.SH
2019-01-30,603351.SH
2018-01-24,603356.SH
2016-02-05,603377.SH
2017-09-28,603378.SH
2017-04-05,603385.SH
2017-05-16,603488.SH
2017-09-04,603500.SH
2018-02-01,603506.SH
2015-03-19,603519.SH
2017-08-08,603535.SH
2017-06-13,603536.SH
2017-08-18,603557.SH
2016-08-10,603569.SH
2016-12-22,603577.SH
2017-03-06,603578.SH
2017-05-25,603580.SH
2016-12-14,603585.SH
2017-04-06,603586.SH
2018-06-22,603587.SH
2015-01-23,603600.SH
2015-06-11,603616.SH
2017-07-03,603617.SH
2017-01-12,603639.SH
2017-12-29,603655.SH
2018-07-30,603657.SH
2017-11-21,603661.SH
2015-05-28,603669.SH
2017-07-21,603676.SH
2017-02-06,603677.SH
2018-02-27,603680.SH
2017-11-27,603685.SH
2017-01-10,603689.SH
2018-07-03,603693.SH
2015-12-09,603696.SH
2019-05-08,603697.SH
2019-01-22,603700.SH
2018-07-09,603706.SH
2018-02-08,603709.SH
2017-11-30,603711.SH
2017-03-27,603717.SH
2017-08-11,603721.SH
2017-09-06,603725.SH
2016-04-21,603726.SH
2015-03-24,603729.SH
2019-01-16,603739.SH
2017-03-24,603768.SH
2016-05-16,603779.SH
2017-04-27,603787.SH
2015-01-20,603788.SH
2015-04-27,603789.SH
2018-09-12,603790.SH
2017-04-13,603797.SH
2016-04-06,603798.SH
2015-04-22,603808.SH
2018-09-17,603810.SH
2017-09-18,603813.SH
2015-04-22,603818.SH
2016-11-25,603819.SH
