date,value,drawdown
2020-09-04,109443.51425616343,3.4050127115437583
2020-09-07,109119.35156937808,3.6911191183257315
2020-09-08,109644.7529962461,3.227399139169498
2020-09-09,108734.23716690112,4.031021588240876
2020-09-10,107501.73928136536,5.118825816710007
2020-09-11,108203.65356856724,4.499315358637946
2020-09-14,108782.91162892335,3.988061445081502
2020-09-15,108341.66296263342,4.377508088868563
2020-09-16,108679.02932671462,4.079748099421394
2020-09-17,108641.55205487701,4.11282558803608
2020-09-18,108749.90204998388,4.0171957421636675
2020-09-21,108361.23295284719,4.360235590184815
2020-09-22,107878.2998247138,4.786472993929293
2020-09-23,107419.5459641469,5.191369744834694
2020-09-24,106368.99422303619,6.1185880708191425
2020-09-25,106435.62118747894,6.0597830257951655
2020-09-28,106372.12730413917,6.1158228093838485
2020-09-29,106112.13441315471,6.345292871364415
2020-09-30,106731.88031753746,5.798304334283939
2020-10-09,107393.64743089332,5.214227823793708
2020-10-12,107983.49974173002,4.693623411055489
2020-10-13,107658.07546731897,4.980843296708241
2020-10-14,107227.57903692762,5.360800003179186
2020-10-15,106619.61264764766,5.8973919249887405
2020-10-16,106542.92935423399,5.9650726989740654
2020-10-19,105581.52873637056,6.813606128230264
2020-10-20,105627.34700702404,6.773166863268491
2020-10-21,105175.30526591337,7.172139488857204
2020-10-22,104704.86917202597,7.587346994006605
2020-10-23,104790.33832424346,7.511911809673247
2020-10-26,105141.51223035608,7.201965265763952
2020-10-27,104533.77302602018,7.738356673847932
2020-10-28,104401.24302602018,7.8553278233248705
2020-10-29,104269.97999046292,7.971180748345357
2020-10-30,104814.68175434644,7.490426266767061
2020-11-02,103752.17347268428,8.428197450912455
2020-11-03,103846.1139782396,8.34528543916228
2020-11-04,104243.08701379687,7.994916524346893
2020-11-05,104660.83571935029,7.626210976311838
2020-11-06,104474.32574212314,7.790824923532673
2020-11-09,104690.12228267462,7.600362617628697
2020-11-10,104164.68270122996,8.064116272063643
2020-11-11,104073.23618345131,8.144827086975223
2020-11-12,104166.55314789404,8.06246541341781
2020-11-13,104167.30444234064,8.06180231996716
2020-11-16,104455.01488900473,7.8078687074807664
2020-11-17,104288.30618345132,7.955006026702033
2020-11-18,104753.59314789405,7.54434314986282
2020-11-19,104555.34924178143,7.71931347790018
2020-11-20,104196.89230011155,8.035688038415637
2020-11-23,104506.78968844554,7.76217220250431
2020-11-24,104805.03719585195,7.498938566573127
2020-11-25,104802.60843881263,7.501082190678534
2020-11-26,104994.16237154845,7.3320164417995155
2020-11-27,105130.74323825343,7.211469992127452
2020-11-30,104372.78151991559,7.880447985438346
2020-12-01,104423.94425620869,7.83529168818799
2020-12-02,104258.1077345797,7.981659216749076
2020-12-03,104265.42514007563,7.975200865190571
2020-12-04,104359.19901956504,7.8924359178217625
2020-12-07,104569.40253611034,7.706910022142307
2020-12-08,104965.6626893431,7.357170298188917
2020-12-09,104710.42704211982,7.582441610670598
2020-12-10,104441.63226545186,7.819680228343939
2020-12-11,103710.1857932189,8.465255831135309
2020-12-14,103592.01101655097,8.569557041925535
2020-12-15,103142.53842562613,8.966262132236075
2020-12-16,102607.7326965325,9.4382823607046
2020-12-17,102950.09837556319,9.136109969414537
2020-12-18,103349.14188507464,8.78391365160826
2020-12-21,103365.88927340863,8.769132384995698
2020-12-22,102456.33609914218,9.571905193449211
2020-12-23,101896.33600475613,10.066162001323129
2020-12-24,101303.24158262485,10.589627905684832
2020-12-25,101960.29425112972,10.009712370319978
2020-12-28,102057.52301352198,9.923898138830936
2020-12-29,101928.33179722002,10.037922473496023
2020-12-30,101747.28570333263,10.197713990211614
2020-12-31,101869.20570333264,10.090107240462652
2021-01-04,102107.77737612478,9.879543573374956
2021-01-05,101818.91289258294,10.134495740302828
2021-01-06,101145.46595091306,10.728880882375226
2021-01-07,100058.08639757716,11.688603483080117
2021-01-08,99704.18378591113,12.00095838604146
2021-01-11,99235.62816146067,12.414506186432725
2021-01-12,99366.10212001292,12.29934970179783
2021-01-13,99225.59859290547,12.423358296616527
2021-01-14,99511.06003374039,12.171409659584889
2021-01-15,99686.91853631705,12.016196717672221
2021-01-18,100337.55049353493,11.441948110396849
2021-01-19,100195.28201253318,11.567514455806288
2021-01-20,100175.56466586827,11.584917011484475
2021-01-21,100391.09922411959,11.394685931497591
2021-01-22,100216.48521938121,11.548800478007966
2021-01-25,99278.50240972576,12.376665319440146
2021-01-26,99100.80744186325,12.53349912799025
2021-01-27,99746.7274190904,11.963409320351392
2021-01-28,99878.12438353314,11.847438189523293
2021-01-29,99402.66047742052,12.267083248248023
2021-02-01,99065.39916020108,12.564750523199084
2021-02-02,99142.86755011004,12.496376822031209
2021-02-03,98412.61555332961,13.140898179242678
2021-02-04,98261.04172058636,13.274677440139099
2021-02-05,97002.0267030364,14.385885723633752
2021-02-08,96825.61413758711,14.541587682154688
2021-02-09,96923.5934249046,14.455111036395554
2021-02-10,97714.19470017948,13.757325327900604
2021-02-18,98572.7331366836,12.999578193002689
2021-02-19,99609.95278969065,12.084126785228557
2021-02-22,100703.59721942068,11.118874796512248
2021-02-23,100887.16061960888,10.956861501998485
2021-02-24,100510.28877878701,11.289489076332023
2021-02-25,100482.95554515638,11.313613423700145
2021-02-26,100321.55554515636,11.456065272531205
2021-03-01,101761.4622126884,10.185201784711607
2021-03-02,101387.83626118349,10.514964532934236
2021-03-03,101799.80626118349,10.151359277897532
2021-03-04,102400.61626118349,9.621083594525926
2021-03-05,104228.32626118348,8.007944383702009
2021-03-08,104424.82626118348,7.8345132294560385
2021-03-09,103804.83737174436,8.381716225461654
